machine_id,series,shift,operator,temp_zone1,temp_zone2,pressure_main,processing_time,humidity,defect_flag
M0000,Series-C,Evening,Op-3,201.1422764866204,169.89764063634198,5.165990165284508,42.81640131979702,44.23271797139722,0
M0001,Series-A,Evening,Op-3,201.50301761461878,184.18491243335703,5.095249839889533,44.66933692687089,59.91262218997767,0
M0002,Series-C,Night,Op-3,196.36387787786146,167.46979420110364,5.354725908569519,55.49860894583258,59.62235815735872,0
M0003,Series-C,Evening,Op-3,199.4305437627893,212.17723691660083,4.782256814715078,43.76487149627002,52.990178594148944,0
M0004,Series-A,Morning,Op-4,203.0780176889206,162.1860237145573,5.2565528990880415,43.20829923989389,56.08828119354947,0
M0005,Series-A,Morning,Op-1,182.89831607343373,184.6473106534054,4.870226661208042,41.7622909718242,54.302003225674,0
M0006,Series-C,Morning,Op-4,186.51814577894288,189.50665321398148,5.369405240443752,48.720959857499686,51.863164380789364,0
M0007,Series-B,Night,Op-4,207.43264094022715,186.2069864617725,5.307683742006526,44.09387913390948,41.06695993977795,0
M0008,Series-C,Evening,Op-3,201.70865438127942,177.22068511683437,4.532280648977703,41.75313480839287,49.095286851053224,0
M0009,Series-C,Morning,Op-2,198.1601666364732,178.0526895039986,5.542991058087516,51.60652016136506,53.49572604334821,0
M0010,Series-C,Night,Op-2,200.18433933065393,180.65717207968663,4.732018277442976,52.098015022568184,53.55063227767369,1
M0011,Series-C,Evening,Op-4,203.4758170536167,177.79496997557268,5.404028899140573,41.99788217130647,47.46245236844767,0
M0012,Series-A,Night,Op-4,194.60240319690638,194.45818675192365,5.183643656700671,35.66730024319692,58.83383973316061,0
M0013,Series-C,Morning,Op-3,192.21695274597687,213.15784502387027,5.919091838397561,50.03756844918461,43.34714064473562,0
M0014,Series-B,Morning,Op-4,201.9584525509768,171.6376232248825,4.888267008814074,41.57685087119998,50.007188924311215,1
M0015,Series-A,Morning,Op-3,190.21627222384967,159.45295530631384,4.8253416019409014,48.953127995813844,53.81767953101645,0
M0016,Series-B,Night,Op-2,204.08252755714472,178.67576927473118,4.990290197056134,35.14948091144082,53.942716117836184,0
